timestamp,commit,goos,goarch,goversion,benchmark,run,iterations,ns_per_op,bytes_per_op,allocs_per_op
2026-02-10T22:46:32Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,406,3121122,976956,5163
2026-02-10T22:46:32Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,274,3825336,983383,5163
2026-02-10T22:46:32Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,156,7714173,1899114,22230
2026-02-10T22:52:30Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,340,3757319,1374488,9965
2026-02-10T22:52:30Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,330,3759725,1379250,9965
2026-02-10T22:52:30Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,483,2354050,1059076,5484
2026-02-10T22:54:43Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,404,2925874,1027846,6752
2026-02-10T22:54:43Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,406,3191723,1031853,6752
2026-02-10T22:54:43Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,477,2510387,1030575,5510
2026-02-10T22:55:44Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,420,2824359,975646,6749
2026-02-10T22:55:44Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,410,2876414,979696,6749
2026-02-10T22:55:44Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,483,2466288,1103476,5926
2026-02-10T22:56:23Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,427,2815407,903890,6746
2026-02-10T22:56:23Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,412,2844906,905700,6746
2026-02-10T22:56:23Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,494,2429275,1068716,5920
2026-02-10T22:56:54Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,434,2776681,846014,5621
2026-02-10T22:56:54Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,428,2831723,851698,5621
2026-02-10T22:56:54Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,470,2452002,1065417,5920
2026-02-10T22:57:22Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,380,2843777,901995,6178
2026-02-10T22:57:22Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,452,2654450,912886,6179
2026-02-10T22:57:22Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,490,2515072,1091994,6117
2026-02-10T22:57:44Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,453,2604004,902795,6179
2026-02-10T22:57:44Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,453,2650220,915383,6179
2026-02-10T22:57:44Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,504,2548627,1095038,6118
2026-02-10T22:58:28Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapIsStaleWarm,1,457,2748990,886089,7291
2026-02-10T22:58:28Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateWarm,1,453,2673661,914323,6179
2026-02-10T22:58:28Z,43a2907,darwin,arm64,go1.25.0,BenchmarkCodemapEnsureUpToDateOnChange,1,466,2405286,1091444,6117
